,4.9_rbf_matern32_sin_lfbgs_0_0,4.9_rbf_matern32_sin_lfbgs_1_0,4.9_rbf_matern32_sin_lfbgs_2_0,4.9_rbf_matern32_sin_lfbgs_3_0,4.9_rbf_matern32_sin_lfbgs_4_0
.kernel.kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8860711090033379>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7401237412324456>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.77002600022053>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7778770648007993>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7654453971093992>"
.kernel.kernels[0].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.77970965, 1.34527687, 0.82285824, 1.50398764, 2.07725038,
       2.17884576, 2.08768391, 1.68976469, 1.7682581 ])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.51255317, 1.47970653, 1.4251923 , 1.53591055, 2.20669036,
       2.28326831, 1.90206123, 1.74536516, 1.40357026])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.44434829, 2.11693686, 1.83250206, 2.02334182, 2.12591903,
       2.3045257 , 1.81957684, 1.71070269, 1.81688561])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.493055  , 1.38764261, 1.06022373, 1.4439221 , 2.04163209,
       2.64307958, 2.18441516, 1.7029321 , 1.64543701])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.45938375, 1.53926116, 0.92688805, 1.27277489, 2.02646303,
       2.19435996, 1.84683049, 2.01260467, 1.722226  ])>"
.kernel.kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.48422575526838596>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.48776114879807825>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5765401984994993>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.47676138076180224>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.45953817876296404>"
.kernel.kernels[1].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.67088978, 3.79742947, 3.81056747, 4.07980803, 2.00252121,
       2.29657129, 1.55004064, 1.546367  , 1.66967863])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.67196243, 3.80277666, 3.37113361, 3.35099232, 1.84154387,
       2.40520053, 1.24579084, 1.88085742, 1.75651315])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.24235573, 2.89924669, 1.97160026, 2.11112809, 2.16914277,
       2.77393234, 2.14338117, 2.01707081, 2.38647726])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.75505668, 3.5530891 , 2.67115904, 3.78985708, 1.75599102,
       2.69749862, 1.50508691, 1.86021948, 2.08290515])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.69525151, 3.58887464, 3.39768657, 4.00425447, 1.93631332,
       2.38662408, 1.52525639, 1.63252196, 2.04945184])>"
.kernel.kernels[2].kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=1.0>"
.kernel.kernels[2].kernels[0].lengthscales,"<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>","<Parameter: name=identity, dtype=float64, shape=[1], fn=""identity"", numpy=array([365.])>"
.kernel.kernels[2].kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7606257885162202>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7030176066877198>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7637680440236514>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.6737178662047425>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.6824060636962405>"
.kernel.kernels[2].kernels[1].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.76007952, 1.95112249, 1.86879822, 1.89553172, 2.06659898,
       2.23029922, 1.97077461, 1.73878713, 1.8728283 ])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.81246087, 1.74043823, 1.92126246, 1.78060508, 2.12174826,
       2.3304734 , 1.86814142, 1.73610779, 1.54290253])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.77400128, 2.36649304, 2.00620461, 2.17441933, 2.15621353,
       2.32983059, 1.8227567 , 1.7923079 , 1.76797164])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.55666304, 1.92970355, 1.77070656, 1.8746389 , 2.19520875,
       2.64312383, 1.98543189, 1.79380847, 1.66726444])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.48961215, 1.96975866, 1.77319143, 1.85160165, 2.10801252,
       2.31598369, 1.72068994, 1.81443052, 1.76740705])>"
